date,portfolio,btc_price,is_invested,btc_nav,portfolio_nav,portfolio_return,btc_return
2023-01-01,100000.0,16625.080078125,False,1.0,1.0,,
2023-01-02,100000.0,16688.470703125,False,1.0038129515588565,1.0,0.0,0.0038129515588565255
2023-01-03,100000.0,16679.857421875,False,1.0032948619490907,1.0,0.0,-0.000516121662866853
2023-01-04,100000.0,16863.23828125,False,1.0143252364503414,1.0,0.0,0.010994150293785143
2023-01-05,100000.0,16836.736328125,False,1.0127311416850553,1.0,0.0,-0.0015715814888572766
2023-01-06,100000.0,16951.96875,False,1.0196623817953885,1.0,0.0,0.006844106816741524
2023-01-07,100000.0,16955.078125,False,1.0198494109697076,1.0,0.0,0.00018342264818071996
2023-01-08,100000.0,17091.14453125,False,1.0280338170363605,1.0,0.0,0.008025112314249405
2023-01-09,100000.0,17196.5546875,False,1.0343742470225414,1.0,0.0,0.006167530562816825
2023-01-10,100000.0,17446.29296875,False,1.0493960261704567,1.0,0.0,0.014522576515372032
2023-01-11,100000.0,17934.896484375,False,1.0787855697593562,1.0,0.0,0.02800615102017323
2023-01-12,100000.0,18869.587890625,False,1.1350073384279986,1.0,0.0,0.052115795988246116
2023-01-13,100000.0,19909.57421875,False,1.1975626057252309,1.0,0.0,0.05511441660269112
2023-01-14,100000.0,20976.298828125,False,1.2617261829448425,1.0,0.0,0.05357847423830919
2023-01-15,100000.0,20880.798828125,False,1.2559818497114852,1.0,0.0,-0.004552757413617381
2023-01-16,100000.0,21169.6328125,False,1.2733552387729334,1.0,0.0,0.013832516023570829
2023-01-17,100000.0,21161.51953125,False,1.2728672242062744,1.0,0.0,-0.00038325091993129945
2023-01-18,100000.0,20688.78125,False,1.2444319758328233,1.0,0.0,-0.022339524368837904
2023-01-19,100000.0,21086.79296875,False,1.268372415029486,1.0,0.0,0.019238045679950355
2023-01-20,100000.0,22676.552734375,False,1.3639966019900516,1.0,0.0,0.07539125404137925
2023-01-21,100000.0,22777.625,False,1.3700761074811552,1.0,0.0,0.004457126566322689
2023-01-22,100000.0,22720.416015625,False,1.3666349821388313,1.0,0.0,-0.002511630794474806
2023-01-23,100000.0,22934.431640625,False,1.3795080404335458,1.0,0.0,0.009419529327844067
2023-01-24,100000.0,22636.46875,False,1.361585546874128,1.0,0.0,-0.012991945703908492
2023-01-25,100000.0,23117.859375,False,1.3905412344700878,1.0,0.0,0.021266153759075257
2023-01-26,100000.0,23032.77734375,False,1.385423542955209,1.0,0.0,-0.003680359408276712
2023-01-27,100000.0,23078.728515625,False,1.3881875099050862,1.0,0.0,0.0019950339114214177
2023-01-28,100000.0,23031.08984375,False,1.3853220396847243,1.0,0.0,-0.0020641809553219037
